lable	test1_a
1	好看就少人追，都知道追也追不上
1	读大学时候有一次坐公交，我一开始用的公交卡，但貌似遇到雾霭天，公交卡不收费，我还傻愣愣拿出手机，司机师傅大手一挥直接关门开走，我一脸懵逼往后走。之后才反应过来，差点白白花钱
1	我选择直接吃药店一两块钱的版维
0	要看在什么场所。
1	很难让人不怀疑他收钱了
1	没想到你来了小红书
0	伸缩洗车拖把，又快又干净
1	慧眼啊简直！
1	为了这口醋，包了顿饺子
1	那就要看这个姐妹自己了
1	那就再往里面加一丢丢维生素，直接秒杀
1	男人都是有些自知之明的看你状态大概知道你的经济条件教育和家庭条件不理你不是你不好是他们知道在你身上是浪费时间骗也不好骗养也养不好不如找个好拿捏的
1	像是落进星空里
1	哈哈不问就是能，问就是不能
1	实际啥也没付出哈哈哈哈
1	你一定是风象星座
0	问题是正经人会去搭讪吗？
1	哇哇哇哇哇，浪漫传染，
1	压成肉泥死了。（逝者安息，无意冒犯）
0	我也想玩家人们
1	对啊对啊，人家说的是喝这个也别担心摄入多了有负担，因为是水溶，而且后面说了别把“压缩饼干”当正餐，这种做法才是有问题的。所以没毛病啊
1	居然不能给你投币，真一股站味
1	我就说小红书能学到新知识
1	我社恐，不能结婚
1	我才知道好恐怖啊
1	干掉正确答案自己就是正确答案
1	最后两句话笑的想死
1	什么女生都不会搭讪，就稀罕身边发现
1	我很自觉的划到最后学单词
1	吃一堑吃一堑吃一堑
1	多用牙齿咬一咬溃疡处也可以有用的
1	还是不冷雪没冻住你在东北试试这玩意好不好使
1	破防的很标准
0	说白了就是觉得拿捏不了，因为美女都是靠钱堆起来的，这一身从头发丝起都是需要金钱和时间打理的，没点小钱可不敢随便追，人家看过好东西
1	这头发真不错
1	还有一些比如工作上同事跟你吐槽某某，或者领导又跟你吐槽某某，千万别当真！因为第二天你就能看到她们笑嘻嘻的一起吃饭聊天！如果你当真了，受伤的世界只有你
1	哇但糖太多了
1	开帕美竟然没有车库
0	还好我是普信男
1	难道他是天才
1	好像知识了我一样
1	接好运我快被焦虑噶了
0	我不是那种老师（一脸正气）。
1	这歌每次听都很感动
1	就无聊啊全是生物课我头发都掉完了
0	我觉得是暗示你了不然哪里不能买水，非要去她家喝吗
1	啥表情，不满意嘛，那我可以有
1	是谁发明的这种学习方法
1	怀孕的时候，医生说这孩子好清秀，像妈妈！我说别人都说我与老公夫妻相……生下来是个女儿，才明白当初医生在暗示什么。估计她都对我无语了
1	这波广告打得，我立马进隔壁小卖部买了瓶水溶
1	还真能治晕车嘿
1	宝宝你学会了吗
0	所以我有俩身份证。
1	我说我空腹洗澡出来差点倒地不起喝一瓶咋就好了
1	知识进脑子的时候很无助
1	说他嘴不要那么碎
1	卧槽，幸亏四级前刷到了啊
1	他破防的心路历程特别像那串网络热梗
1	笑亖，养老院那些有子有女的都被送过去丢在那里等死
1	因为大震那种灾难太难生存了加上现在的人生活压力大，活着的欲望不那么强烈吧
1	我很爱喝，但是太甜了
1	浪漫在哪没.到
1	这就是你那天艾特我的后果
1	这俩月被骗了好多次了
0	和我最近有点像。我想到了十年前的初恋，那段感情有很多遗憾，我要找他问问近况吗？（其实蛮想看他的照片的，但这么久了，要找起来很困难。）
0	正在喝，小红书是咋知道的？
0	太甜了。难怪可以喝一周
0	“都是我们身上的你腿短就行”爆赞赞赞赞
1	哦哦，怪我审题不清了
1	我考驾照很早，那会儿科三安全员会暗示。
1	同天秤+句句说在我心坎上！！
1	不可能，看起來是溫柔女友路線的
1	我也看到这个了
1	哈哈哈哈好喜欢
1	他破防的简直太典型了简直是照着标准破防的
1	之前高铁上班有旅客定了餐已经加热但是时间不够问能不能带下车哎问就是不能带的有规定不问直接拿走就好啦
1	完蛋，我啥都不懂，横冲直撞半辈子了，不知道怎么才能这么机灵啊
1	我靠这个拉肚子
1	因为里面还有维生素，可以治疗月经不调，还有42克碳水，牙疼吃不进饭还能续命
1	坏了考研的时候还背锅这个单词
1	……所有这种都是这一个模板吗……这种男娃怎么说话都一模一样
0	见到美女就去搭讪，真以为自己魅力没法挡系情圣啊
1	你看看你看看，还是我们作者聪明，答案都印错了
1	，。我喝西柚味的当饮料喝，没想到这个这么补
0	因为他们不住
1	但前提你要有一个不会帮外人说话的父母有些父母在孩子说这些的时候还会反过来说小孩
1	天户口本原来这样就可以留下来...我怎么之前没刷到...
1	小时候的最爱，夏天喝酸酸甜甜
1	祝考上好大学
0	卧槽..整无语了
1	正老师的头脑和外在都是这么得令人着迷不要太有魅力了正老师
1	已经很久没看到这么标准的破防了
1	不。。她们一般被搭讪经验丰富啊，有一个这样的朋友就知道了
1	他破防的好标准
1	头发怎么保养的
1	我刷到过这个
1	我笑死了好会说
1	我觉得水溶最要的是助消化解酒话还得是篮尖叫
1	懂了吗宝子们
1	我也不是过得不幸福，就是觉得事情多起来了麻烦，别人问我为啥结这么早，我都说结得早离得早
0	那个关于死亡日期的，要看死亡证明，不是凭口说就行
1	找我搭讪的都是推销的……
1	我这号算是养成了
1	我之前晕车就喝的这个，我还以为是巧合真的喝完就舒服了
1	嘛度在干嘛啊这男的
1	我也觉得生吃柠檬其实很香
1	胃胀的时候一瓶可乐比啥都好使我相信食疗的
0	他真是哥谭大头目
1	真的宿醉之后，早上就想灌瓶水溶
1	你说你都没那运气，我怎么会有
1	居然还会合上，想都没想过
1	看到背影男生会先看看正脸再决定是否搭讪
1	没什么可烦的，就是湿，去掉就好了
0	搭讪的很少追我的都是200多斤的大胖子
1	这战竟然还在？
1	这不就是维的功效吗
1	姐妹你是个狠人
1	当真是好歹毒
1	我喝过康复新液味道…
1	笑死我了！！！
1	我竟然能刷到你的帖子，你看男人好透彻点了点了
0	好爽啊，尤其是最后一句，你腿短就行
1	破防的很到位
0	《我又不缺美女》笑死谁了，他要真能谈到美女朋友还搁那坚持不懈半年加你呢你脾气是真的好，他在那评判你的时候真的乳腺疼
0	槽尼吗。。前半部分几乎一球样。。
1	只有答案错，我是不可能错的
1	你还别说，你还真别说，昨天的口腔溃疡确实好了，昨天恰好喝了一瓶
1	谢谢看得很爽睡觉了
1	想起大学考试，坐第一排，来个巡检看着我的统计卷子说你这样做对么？我傻啦吧唧的改完问这样对么，后来做后面的寝室大姐说人家就差告诉你咋做了，你太笨了
1	口腔溃疡喝两瓶第二天就好了
1	我去！第三张图公交司机那个和我昨天遇到的一模一样，因为我是坐在前门第一个座位，基本上过个两站司机就要这么说一次，和图里说的一模一样
1	第二张就原形毕露了
1	没人搭讪路上也是偷偷看根本没人追
1	懂了，是答案错了！
0	老师的意思就是不点到
1	真巧我也刷过
1	学会了准备上清华
1	我们考勤忘带卡可以签到算正常考勤。时间都是自己写的，比如8点到算正常考勤，总有几个人八点零五到，然后问我我八点零五到的算正常考勤吗？我说不行，然后就骂骂咧咧的。
1	这是我最喜欢的饮料
0	只能说女生缘很好
1	是因为他发现了这个现象，所以向大家阐述这个现象并发出自己的吐槽顺带科普
1	主要缺点是糖太多了
1	什么时候带我去看雪
1	你说丢了，花10块钱补办一张就行
1	你这车以前是不是老停路口烤羊肉串小摊那？
0	前俩天房东说看我安静的，想给我介绍对象，我说不想谈，我脾气不好，他说看着不像
1	原来保时捷也会被雪盖住啊，我还以为就我的五菱才会呢
1	真的、科目三最后终点牌很远，系统提示侧边停车一下懵了不知道就一直开旁边监考说要开到天上去吗，。我就赶紧停了不然那次就得挂科了
1	叫什么名字啊啊啊
1	那这么讲，水溶100岂不是很适合作为低血糖患者的救命神仙水
1	建议学校老师这样改卷子
1	搭讪能容易成功的男生一般具备2个优点，有底气的自信，让人舒服的长相。
1	抽烟那个一点都不暖，室内默认不能抽烟的好嘛
1	好好好好好好
0	这最后一章的话是他妈的正常人说出来的吗？
1	今天是我最恼火的一次
1	为啥你不想要龙凤胎？
1	超好看的，只有有路灯，都可以拍出来基本上
1	小美女一抓一大把，走在路上看到小美女是很平常的事啊，只有那种特别抓人眼球的女生才会让人想要上去搭讪，因为怕以后遇不到了，得抓住机会(来自我一个男性朋友的回复)，所以姐妹们被搭讪就是因为好看，别被了
1	我已经被这种歹毒的文案骗了次了
0	原来如此，了解了
1	早知道上次我就说我未成年
1	好典型啊哈哈哈
1	我单身的时候身边的异性都以为我有男朋友，一问才知道他们会说像你这样的女生看上去就不会单身，他们的潜意识里漂亮并且有点内涵的女生自己搭不上所以会认为女生不会单身
1	这是高中单词吧
1	我们喝这个能变白吗
0	跟掌控应该没关系吧我身边大美女经常被搭讪我姐171走暗黑风混血长相背香奈儿开保时捷大红唇搭讪她的男的不要太多
1	有些人怎么暗示都不懂真的急死个人
1	我真服了好搞笑啊这样的
0	这就是我喝柠檬茶精神百倍的原因吗
0	看到啦看到啦，你用过之后感觉怎么样？
1	借我用用（开玩笑）
1	怪不得这么酸
1	撑死胆大的，饿死胆小的
0	只要你足够自卑这么想就合理多了
1	公交司机这个我是真的没意识到。哈哈哈哈
1	精神状态良好
1	桃花，我信玄学。都是命里带的
1	今天下午刷到了！
1	陕西的冰雹能把我砸死
1	我之前每次打完球一口气喝两瓶，一瓶柠檬的一瓶西柚的，那种感觉实在太爽了。
0	刚看有好几个，具体什么样的？怕买错影响效果
1	我靠我这么认真的看完了
1	上次去办身份证，民警不是告诉我直接去附近的就行，我一直问旁边派出所要不要预约
0	我用的同事给的纸壳还不错
1	难怪我很喜欢喝它.....
1	果宝特攻看过吗特别好看
1	我看完了，我觉得分析的挺好，但确实2块100粒更有性价比
1	我的沉默震耳欲聋
1	学会了以后政治就这么做
1	真的好典受不了了
1	好东西，以后口腔溃疡就买这个
1	这雪是真干啊，粉粉的感觉
1	这种算是悖论了，搭讪没结果，实属浪费彼此时间
1	聽日你就咁樣
1	好想和喜欢的人一起看雪
1	救命啊我要笑死了！！！！
1	我靠太害怕了吧
1	我今天在高铁站也看见拿这个吹站台上的雪，我合计这还没有竹扫帚好使呢
1	打扮过度的女生普遍高，男生大多喜欢低又漂亮的，比如乖乖女，好嫁风等风格女生。
1	哈哈哈哈姐们好喜欢你说话，太爽了，粉了粉了
0	大早上的看到爽文
1	男生追人讲究一个可得感，自觉差距太大那就只能仰慕了。
1	这种说法透露的是地震无所谓的态度，哪里是跑得了跑不了的事实啊
0	还是我的车库好
1	怕什么？她有三头六臂还是有十八般武艺？大家都是一样的人，喜欢就上。
1	好歹毒的知识
0	什么鬼啊哈哈
1	美白的！！！！我要囤一箱
1	我找不到山力姐了只能艾特你了哈哈哈
0	什么人会骚扰以前的同学啊？难以想象这种人在现实生活中得多差啊
1	哥我刚刷过这个
1	爽死了爽死了
0	对就是实在找不着了偶然听到谁提起原来同学或者在哪看到原来同学长得漂亮然后来骚扰一下被拒绝就破防
1	妈呀美女老婆，好爱听你骂对面的做帅哥小妈真的笑死我了，。。
1	哈哈哈又不是只有人会遭殃，小动物们也会
1	直接就是压扁成渣渣一瞬间的事
1	没事，你为城市做贡献城市回馈给你一程方便
1	哈哈哈哈乳腺瞬间通畅
1	看见大家都疯了我就放心了
1	我靠姐姐你巨斩女
1	抱歉没有时间截图的不相信
1	败血症不就说明补剂有用吗
1	17的时候我就会说，谁跟你好朋友，滚
1	我遇到一个很好的司机，上车后公交码刷不出来，司机让我先坐上来，慢慢弄我说司机我没有零钱，只有手机能刷码付钱，地铁都刷的到码，公交车为什么不行啊，司机看我很着急，说我不用给了，最后快到站了，公交码可以刷了，我还是刷了才下车
1	吓人
1	没错，我也是类似这种身材，气质比较清冷时尚的那种，我们公司男同事，敢明着夸我撩我的一个是富二代，送礼送东西，被多次明确拒绝后现在转方向了，撩刚毕业的妹妹去了
0	虚拟软件分手机品牌吗？
1	是的是的我们破看文的就是这么好骗你满意了吧
1	晕车想吐，喝了真的有用
1	很美妙的精神状态
1	每天能摄入1啊
1	懂了，以后被交警逮到知道怎么说了
1	什么鬼你给我看的什么鬼
1	以前上大学的城市可以用手机支付。后来回自己城市我以为也可以。上车了半天扫不出来。但是车也开走了。司机也没说话。我就默默的找了个座位坐着了
1	博主还是脾气好啊…我会在对方抬杠的第一句就开始已读不回择机拉黑
0	会搭讪的一直都会搭讪，不会搭讪的，死了也不一定会搭讪。
1	我只想知道这个头发！是！怎！么！烫！的！太绝了太绝了
1	我怀二胎，医生跟我说宝宝真漂亮，我也没反应，心里还想羊水泡着的孩子怎么能看出好看？等我生完大概两年后，有些人聊起，我才想起这档子暗示
0	能吹3-4台车吧
0	那时候你还需要去搭讪吗？
1	有种看洗地毯的快感
0	没有年入千万我的人生是不完整的，没有拿到硕士学位我的人生是不完整的，没有去过欧洲我的人生是不完整的，这话谁不会编啊
1	我一直都用它混冰美式
1	救命，我今早刷到想你来着，但好像用意念了
0	不能说女生好拿捏是她身边的人没实力
1	这怎么样才能听得懂
0	银行工作人员还要兼职断案啊？
1	吃一堑吃一堑又吃一堑...
1	你也觉得我很幽默啊笑死我了
1	当她拿出答案批改的时候，我的小脑萎缩了
1	你骂不骂，不骂我就要骂了啊
0	你怎么不整车吹完差评
1	管他搭讪哪种女生呢！在乎那么多干嘛
1	真的是酣畅淋漓的记了一个单词
1	突然感觉我也不是很傻
1	哦哦，原来是这样，我还以为大额转账必须得持卡人到场。
1	别管你长的多好看，遇见个流氓他都敢搭讪你，管的不严的时候还敢调戏你
1	我也发过下雪的但是配的音乐是鬼怪的
1	我从来没被搭讪过，因为我发小说我长了一张随时砍人的脸
1	好几年前，用户要存5现金，没带身份证，我跟综柜在窗口疯狂暗示他“满～～5万要身份证”“满！！！5要身份证…”然后他骂我们不知变通，规矩是死的人是活的不懂吗？算了，活该你听不懂我们的暗示
1	笑死，直击心脏，我已婚，亲妹和俩表妹都是不婚主义，我都支持，人生百态，干嘛一味盲从呢？一切随缘随心，不是更自在嘛！
1	哈哈哈啊哈哈哈哈有文化的就是不一样
1	瞬间乳腺通了，哈哈哈
1	笑死了，破防哥
1	这明明是下雪
1	后面很明显你戳他痛处了他破防喽
1	我也有，本来买来准备吹多肉上的水，因为有把多肉吹走的风险被搁置了
1	很6，从根本解决了问题
1	姐别删我收藏了
1	到现在一次没谈过，一次没追过有时候真的想发癫
1	公交车那个，我初中的时候有次上车掏钱包找硬币，掏了很久发现钱包没带在身上，当时就蒙了，脸唰一下子红起，司机看了我一眼啥也没说，我就试探性地走到座位区，然后坐到站下车了
0	知道江一燕吧她就是一直男人缘很好弱弱的五官柔和小文艺这种类型的女生很吸引男的她的出道经历可见一斑男贵人超多女生可能觉得长的有些平淡
0	这款得2+吧
1	下次出门带一瓶试试看能不能治晕车
1	哈哈哈哈原来是参考答案错了
0	男的就是喜欢很好掌控的人，这是我前男友嘴里说出来的原话
1	这就是女性中的王者，一般大街上不打扮成这样，我都不屑于睁眼看
1	这样背景的女人，我感觉能搭讪的男的估计都是爱聊闲的，正经人不会
1	我有你这个头像里的抱枕！
1	我就爱话痨，谢谢有趣的科普！
1	哈哈哈，看着他一步一步破防
1	我只是觉得它酸酸甜甜的很好喝
0	原来有钱人也把车停地上
1	买买买！买他妈一百瓶！
1	喝多了倒牙影响进食
1	精神状态，。
0	这是性缩力吗
