qid	text	prediction
1	我还在想有可能是我上年纪了，老了我比我朋友们大一岁，跟他们出去旅游出去玩每一次都会有人管他们要微信，羡慕了	正面
2	清早看到这个话题，一整天都是暖暖的	正面
3	终于不是那种一边吐槽一边又发表情包语气又很好的回复了	正面
4	她姑妈没把她怎么样吧	负面
5	你是会批试卷的	正面
6	不然真的会很酸	正面
7	有些人有三个房子了，左心房右心房还有破防～	正面
8	我总碰到要法人签字的，反问好几遍法人来了吗？来了吗？有些的会回答:您等等，法人在车里……有些的只能回去了下次再来	正面
9	审题，这女的邀请的，然后还关门，我觉得算是，但也不好说吧，毕竟这年头仙人跳也有这种套路，防不胜防	正面
10	看见的一瞬间就是自卑	负面
11	歪楼这种卷儿怎么做呀上次去理发店想做微卷理发师说这种都是拿吹风机和板甲卷发棒搞出来的一次性造型烫不出来	正面
12	水溶兑伏特加超好喝自调鸡尾酒，一定要冰镇	正面
13	没有喝过这么猛我都没有喝过以后试试哈哈哈哈	正面
14	真的好典呀妈呀，我要向她学习！	正面
15	村里找个人写一下这种就行	正面
16	好无语...	负面
17	评论区果蔬的这个有点吓人，就是那种感觉	正面
18	它！抗高反特有用！我第一次去独克宗晕头转向，第二次去我狂炫水溶100，屁事儿没有，我还得驾车、而且上了独克宗我还洗澡了	正面
19	就考吧，谁能考过你啊	正面
20	但是维生素也不能吃太多，多了容易尿结石。一般人正常吃饭水果蔬菜是不用额外补充的	正面
21	哈哈哈哈心情舒畅	正面
22	怪沉的拿扫把划拉划拉就行了	正面
23	之前我妈去银行也是，说了亲属已经去世了，大堂的工作人员就说那不行取不了钱了，但是给我妈送出银行外面了，给她说你换个银行，别说去世了就说动不了了，就能取了。	正面
24	上班熬大夜就靠他	正面
25	草！我真是怕了他们了	正面
26	错的都有3个了，改不改区别不大，但是正确的只有一个，不改那这题无解了！	正面
27	评论区说的对，类似于女生看见潮男一样，单纯就是不喜欢而已，虽然会觉得很会打扮	正面
28	你从哪看的题啊	正面
29	说名字了，我不认识	负面
30	大概率是破防了瞎编的吧	负面
